Distrito,Nombre del Grupo,Dirección,ROI,Aniversario
1.0,5 de Diciembre,"San Salvador 533, 5 de Diciembre, 48350",No,23/11/1980
1.0,Puerto de Luz,"Venustiano Carranza 483, Colonia Emiliano Zapata 48380",Sí,
1.0,Marina,"Plaza Genovesa Local 40A, 48333",No,
1.0,Vallarta 73,"Calle La Merced, Esquina con Mexicalzingo, Colonia Barrio Santa Maria 48325",No,16/3/73
1.0,Hay Una Solución,"Calle Amado Nervo 245, El Remance 48389",No,30/12/2024
1.0,Serenity,"Calle Libertad 105, Centro, 48300",No,1986-04-10 00:00:00
1.0,Unidad,"Calle Juan Escutia 186, Valentín Gómez Farias, 48320",Sí,15/7/83
1.0,Mismaloya,"Carr. a Barra de Navidad Km12, 48294 Puerto Vallarta, Jal.",Sí,
1.0,Una Luz En Mi Camino,"Av. Puerto Las Peñas 499, Los Ramblases, 48343",No,
1.0,Un Día Más,Calle Prolong Nayarit esquina Jalisco Co. 1o de mayo CP 48325,Sí,13/4/1993
1.0,Sendero de Luz,"Ignacio Zaragoza 144, Valentín Gómez Farias",No,
1.0,Milagro de Vida,"Brasilia 487, 5 de Diciembre, 48350",Sí,
1.0,Milagro de Hoy,"C. Bolivia 1409, 5 de Diciembre, 48350",No,
1.0,5ta Tradición,"Cuba 649, Lázaro Cárdenas, 48330",Sí,15/1/95
1.0,Una Visión Para Ti,"Cuba 554, Lázaro Cárdenas, 48330",Sí,
1.0,El Tuito,"Calle 1o de Abril 39, El Tuito, Jalisco 48400",No,
2.0,10 de Junio,"Calle Portal Calimaya 599, Portales 48315",No,
2.0,12 de Febrero,"Las Torres 300A, El Toro, 48296",Sí,1981-12-02 00:00:00
2.0,Paso 12,"Palma Datilera - Pisis 131, Del Villar, 48290",Sí,2025-08-01 00:00:00
2.0,Punto de Encuentro,"C. Prisciliano Sánchez 6C, Vallarta 500, 48315",No,
2.0,Pitillal,"C. Independencia 215-Int. Altos, Centro Pitillal, 48290",No,
2.0,Buscando La Paz,"Inés Meza 937, Lomas del Calvario, 48295",No,2020-03-03 00:00:00
2.0,Bahía,"C. 24 de Febrero 267, El Calvario, 48290",Sí,2016-05-01 00:00:00
2.0,Un Camino A La Vida,"C. Revolucion 1237, El Mangal, 48290",Sí,17/9/07
2.0,Un Camino Seguro,"C. 18 de Marzo & FranciaLomas del Coapinole, 48290",Sí,
2.0,Volver a Vivir,"Bolivia 402, Coapinole, 48290",Sí,1996-10-01 00:00:00
2.0,Fortaleza y Esperanza,"C. Dolores del Rio 349, Moderna, 48344",Sí,1998-08-03 00:00:00
2.0,Resplandor de Vallarta,"Revolución 498 Planta Baja, colonia El Toro, 48290",No,2019-02-08 00:00:00
2.0,Punto del Progreso,"Cl. Fco. I. Madero 1030, Villas del Real, 48290",No,2017-06-06 00:00:00
2.0,Igualdad 2000,"Calle Nevado de Colima 651, Volcanes 48290",No,
2.0,Nuevo Renacer,"Near 4 de Julio 172-184, El Salitrillo, 48290 Puerto Vallarta, Jal.",No,
2.0,Transmítelo,"C. 1o. de Junio 220, El Calvario, 48290",No,2023-12-05 00:00:00
2.0,Solo Por Hoy,"Diamante 598, Joyas del Pedregal, 48290",No,
7.0,Serenidad,"Manuel M. Dieguez 343, 48291 Las Juntas",Sí,
7.0,Sendero de Amor,"Pajarillo 102, Los Tamarindos, 48282 Ixtapa",Sí,
7.0,Camino A La Vida,"C. Independencia 199, Centro Ixtapa",Sí,
7.0,Nueva Vida,"Niños Heroes 210, Centro Ixtapa, 48280 Ixtapa",No,
7.0,La Última Esperanza,"Arroyo carrizo 294, Colonia Tabachines, 48280 Ixtapa",No,2022-09-07 00:00:00
7.0,Fortaleza,"Calle Ignacio Zaragoza 111, San Francisco, 48280 Ixtapa",Sí,
7.0,Nueva Ilusión,"C. Sinaloa 156, Las Mojoneras, 48290",No,15/05/13
,Distrito 1,Av de las américas 586 colonia lázaro cárdenas,,
,Distrito 2,"Cl. Fco. I. Madero 696, Loma Bonita 48290",,
,Distrito 7,"Calle Ignacio Zaragoza 111, San Francisco, 48280 Ixtapa",,
